name,location,rate,approx_cost(for two people),cuisines,votes
Church Street Social,Church Street,4.3,1500.0,"American, North Indian, Chinese, Finger Food, Momos",7568
20 Feet High,Church Street,4.0,1000.0,"American, Continental, Steak, Salad",938
Nagarjuna Chimney,Jayanagar,4.0,600.0,"Andhra, Biryani",923
Madurai Idly Shop,Koramangala 6th Block,3.7,200.0,South Indian,468
Tunday Kababi,Koramangala 5th Block,3.9,500.0,"North Indian, Kebab",1139
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,Richmond Road,4.1,700.0,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",115
Tummy Fuel,Jayanagar,4.2,400.0,"Cafe, Beverages, Fast Food",449
Bhagini Kitchen And Bar,Marathahalli,3.8,1100.0,"Andhra, South Indian, Chinese, North Indian",35
Szechuan Dragon,HSR,3.9,600.0,"Chinese, Thai, Momos",184
Boho,Koramangala 5th Block,4.2,1200.0,"Continental, Asian, American, North Indian, Desserts",1721
House Of Commons,Koramangala 5th Block,4.8,1000.0,"Continental, Asian, North Indian",4390
Chung Wah,Residency Road,4.0,1000.0,"Chinese, Thai, Momos, Vietnamese",360
Chickpet Donne Biryani House,Marathahalli,3.7,600.0,"Biryani, South Indian, Fast Food",83
Calicut Restaurant,Kammanahalli,3.6,450.0,"Kerala, South Indian, North Indian, Chinese",76
Canopy,MG Road,3.0,800.0,"North Indian, Continental, Chinese",108
Pizza Hut,Jayanagar,3.8,750.0,"Pizza, Fast Food",706
3 Spice,Wilson Garden,3.9,450.0,"North Indian, Chinese",157
Savitha Family Restaurant,Koramangala 4th Block,4.0,500.0,North Indian,198
Aqua - The Park Bangalore,MG Road,4.0,3000.0,"North Indian, Mediterranean, Chinese",196
Cafe Vivacity,Banashankari,3.8,650.0,Cafe,90
Fullyfilled,Indiranagar,4.0,200.0,"Fast Food, Chinese, Lebanese",48
Mahesh Lunch Home,Residency Road,4.1,1400.0,"Seafood, Mangalorean, North Indian, Chinese",866
WTF,Koramangala 5th Block,4.1,600.0,"Cafe, Continental",93
Alpha - House of Biryani & Tandoor,Whitefield,3.5,800.0,"Biryani, North Indian, Chinese",395
Redberrys,Basavanagudi,4.0,600.0,"Cafe, Italian",219
AB's - Absolute Barbecues,BTM,4.9,1600.0,"European, Mediterranean, North Indian, BBQ",6404
The Hunger Room,JP Nagar,3.9,400.0,"Continental, Sandwich, Burger, Italian, Salad, Pizza",37
The Souk,Ulsoor,3.7,800.0,"Cafe, Mediterranean, Italian, Pizza, Continental",66
Mahadii's,Kammanahalli,3.9,600.0,"Andhra, North Indian, Chinese",219
Red Lantern,Cunningham Road,3.7,700.0,"Chinese, Thai",161
Aroma Fine Dine,HSR,4.0,900.0,"North Indian, Mughlai, Chinese, South Indian",126
Namdhari's Salad Bar,Indiranagar,3.9,300.0,"Juices, Fast Food, Desserts, Salad",82
Karavalli - The Gateway Hotel,Residency Road,4.5,3500.0,"Mangalorean, Konkan, Seafood, Kerala",675
The Tao Terraces,MG Road,4.0,2100.0,"Thai, Japanese, Korean, Burmese, Chinese",1913
Punjab Bistro,Koramangala 7th Block,4.4,1500.0,North Indian,456
New Prashanth Hotel,Banashankari,3.9,650.0,"Biryani, North Indian, Seafood, Andhra",388
Cream Chemistry,Frazer Town,3.9,500.0,"Ice Cream, Desserts",149
55 Wall Street,JP Nagar,3.9,1300.0,"Finger Food, North Indian, Chinese",1763
Empire Restaurant,Indiranagar,4.2,750.0,"North Indian, Mughlai, South Indian, Chinese",8176
The Blackboard Bakery,Lavelle Road,3.8,1000.0,"Cafe, Bakery, Continental",98
Pasta Street,Cunningham Road,4.5,1300.0,"Italian, Pizza, Salad",1623
Chaat Street,Kalyan Nagar,4.1,250.0,"Street Food, North Indian",498
Kailash Parbat,Whitefield,2.6,400.0,North Indian,84
Sagar Fast Food,BTM,3.7,300.0,"South Indian, Chinese, North Indian",67
Foodhall,MG Road,4.0,1000.0,"Italian, Bakery, Fast Food",113
Third Wave Coffee Roasters,HSR,4.1,800.0,"Cafe, Continental",142
Mangalore Pearl,Jayanagar,3.8,650.0,"Mangalorean, Seafood, Chinese, Biryani",242
Petoo,Old Madras Road,4.1,800.0,"North Indian, Fast Food, Street Food",220
Kadai Crust - Amma Veetu Samayal,Indiranagar,3.8,700.0,"Chettinad, South Indian, Biryani",263
Beach Hut,JP Nagar,3.5,650.0,"North Indian, Chinese",134
Andhra Grills,JP Nagar,3.0,800.0,"Andhra, North Indian, Biryani",55
